order_id,city_tier,category,delivery_status,item_accuracy,resolution_outcome,complaint_channel,reorder_risk,delivery_failure
NYK100089,tier2,skincare,on_time,correct,not_applicable,email,0,0
NYK100090,metro,makeup,on_time,correct,not_applicable,none,0,0
NYK100091,tier2,haircare,on_time,correct,not_applicable,email,0,0
NYK100092,tier2,skincare,on_time,correct,not_applicable,call,0,0
NYK100093,metro,makeup,on_time,correct,not_applicable,social,0,0
NYK100094,metro,wellness,on_time,correct,not_applicable,app,0,0
NYK100095,tier2,makeup,on_time,damaged,refunded,social,0,0
NYK100096,metro,haircare,on_time,correct,not_applicable,app,0,0
NYK100097,metro,makeup,not_delivered,correct,denied,call,0,1
NYK100098,metro,haircare,on_time,correct,not_applicable,email,0,0
NYK100099,tier3,haircare,on_time,correct,not_applicable,email,0,0
NYK100100,tier3,makeup,not_delivered,correct,refunded,app,0,1
NYK100101,tier2,skincare,on_time,correct,not_applicable,call,0,0
NYK100102,metro,skincare,delayed,correct,refunded,social,0,1
NYK100103,tier3,makeup,delayed,correct,replaced,none,0,1
NYK100104,tier3,haircare,on_time,correct,not_applicable,call,0,0
NYK100105,tier2,makeup,on_time,correct,not_applicable,app,0,0
NYK100106,tier2,skincare,on_time,correct,not_applicable,call,0,0
NYK100107,metro,skincare,delayed,correct,denied,call,0,1
NYK100108,metro,makeup,on_time,correct,not_applicable,app,0,0
NYK100109,tier3,haircare,on_time,correct,not_applicable,none,0,0
NYK100110,tier2,skincare,on_time,correct,not_applicable,call,0,0
NYK100111,metro,makeup,on_time,correct,not_applicable,call,0,0
NYK100112,metro,haircare,on_time,damaged,refunded,call,0,0
NYK100113,tier2,wellness,delayed,wrong_item,denied,app,1,1
NYK100114,metro,skincare,on_time,correct,not_applicable,call,0,0
NYK100115,tier3,wellness,on_time,correct,not_applicable,call,0,0
NYK100116,tier3,makeup,delayed,correct,replaced,call,0,1
NYK100117,tier2,haircare,on_time,wrong_item,replaced,email,0,0
NYK100118,tier2,skincare,on_time,correct,not_applicable,call,0,0
NYK100119,tier2,makeup,on_time,correct,not_applicable,email,0,0
NYK100120,tier2,makeup,on_time,correct,not_applicable,none,0,0
NYK100121,tier2,skincare,on_time,correct,not_applicable,call,0,0
NYK100122,metro,makeup,on_time,correct,not_applicable,call,0,0
NYK100123,tier2,makeup,on_time,correct,not_applicable,none,0,0
NYK100124,metro,makeup,on_time,correct,not_applicable,call,0,0
NYK100125,tier2,skincare,on_time,correct,not_applicable,call,0,0
NYK100126,metro,makeup,on_time,correct,not_applicable,social,0,0
NYK100127,metro,skincare,delayed,correct,replaced,email,0,1
NYK100128,metro,wellness,on_time,correct,not_applicable,none,0,0
NYK100129,tier2,wellness,on_time,correct,not_applicable,call,0,0
NYK100130,metro,skincare,delayed,correct,refunded,call,0,1
NYK100131,tier3,skincare,on_time,correct,not_applicable,app,0,0
NYK100132,tier2,skincare,on_time,correct,not_applicable,app,0,0
NYK100133,metro,makeup,on_time,correct,not_applicable,call,0,0
NYK100134,tier2,haircare,on_time,correct,not_applicable,app,0,0
NYK100135,metro,makeup,on_time,correct,not_applicable,call,0,0
NYK100136,tier3,skincare,delayed,correct,refunded,app,0,1
NYK100137,tier2,skincare,on_time,correct,not_applicable,app,0,0
NYK100138,tier3,skincare,on_time,correct,not_applicable,call,0,0
NYK100139,metro,haircare,on_time,correct,not_applicable,email,0,0
NYK100140,tier2,makeup,on_time,correct,not_applicable,call,0,0
NYK100141,tier2,makeup,delayed,wrong_item,unresolved,social,1,1
NYK100142,tier3,skincare,on_time,correct,not_applicable,app,0,0
NYK100143,tier2,wellness,on_time,correct,not_applicable,app,0,0
NYK100144,tier2,skincare,on_time,correct,not_applicable,none,0,0
NYK100145,metro,haircare,delayed,correct,refunded,none,0,1
NYK100146,metro,haircare,on_time,wrong_item,unresolved,call,1,0
NYK100147,tier2,makeup,on_time,damaged,refunded,call,0,0
NYK100148,tier2,haircare,on_time,correct,not_applicable,none,0,0
NYK100149,metro,skincare,on_time,wrong_item,replaced,call,0,0
NYK100150,tier3,haircare,on_time,correct,not_applicable,app,0,0
NYK100151,tier3,skincare,delayed,damaged,denied,app,1,1
NYK100152,metro,makeup,on_time,correct,not_applicable,app,0,0
NYK100153,tier2,skincare,on_time,correct,not_applicable,social,0,0
NYK100154,metro,skincare,on_time,correct,not_applicable,email,0,0
NYK100155,tier2,skincare,on_time,correct,not_applicable,app,0,0
NYK100156,metro,skincare,on_time,correct,not_applicable,app,0,0
NYK100157,tier2,makeup,delayed,correct,denied,app,0,1
NYK100158,tier2,makeup,on_time,correct,not_applicable,email,0,0
NYK100159,tier3,skincare,delayed,correct,refunded,none,0,1
NYK100160,metro,wellness,on_time,correct,not_applicable,call,0,0
NYK100161,tier3,wellness,on_time,correct,not_applicable,social,0,0
NYK100162,metro,skincare,on_time,correct,not_applicable,app,0,0
NYK100163,metro,makeup,on_time,correct,not_applicable,email,0,0
NYK100164,tier2,makeup,on_time,correct,not_applicable,call,0,0
NYK100165,metro,haircare,delayed,correct,refunded,app,0,1
NYK100166,tier3,makeup,delayed,correct,denied,call,0,1
NYK100167,tier3,haircare,delayed,correct,refunded,social,0,1
NYK100168,metro,skincare,delayed,correct,denied,app,0,1
NYK100169,tier3,skincare,on_time,correct,not_applicable,call,0,0
NYK100170,metro,haircare,on_time,correct,not_applicable,none,0,0
NYK100171,tier2,makeup,on_time,correct,not_applicable,social,0,0
NYK100172,metro,haircare,delayed,correct,denied,call,0,1
NYK100173,tier3,skincare,on_time,correct,not_applicable,app,0,0
NYK100174,metro,skincare,on_time,correct,not_applicable,social,0,0
NYK100175,metro,skincare,on_time,wrong_item,refunded,app,0,0
NYK100176,tier2,skincare,on_time,correct,not_applicable,app,0,0
NYK100177,tier3,skincare,delayed,correct,denied,app,0,1
NYK100178,tier3,makeup,on_time,correct,not_applicable,call,0,0
NYK100179,tier2,makeup,on_time,correct,not_applicable,email,0,0
NYK100180,tier3,haircare,delayed,correct,refunded,social,0,1
NYK100181,tier3,makeup,on_time,correct,not_applicable,call,0,0
NYK100182,tier2,skincare,on_time,correct,not_applicable,none,0,0
NYK100183,metro,haircare,on_time,correct,not_applicable,email,0,0
NYK100184,tier3,skincare,on_time,damaged,unresolved,email,1,0
NYK100185,tier2,haircare,on_time,correct,not_applicable,app,0,0
NYK100186,metro,skincare,on_time,correct,not_applicable,app,0,0
NYK100187,metro,makeup,on_time,correct,not_applicable,email,0,0
NYK100188,tier2,haircare,on_time,correct,not_applicable,email,0,0
NYK100189,metro,makeup,on_time,correct,not_applicable,app,0,0
NYK100190,tier3,makeup,delayed,correct,unresolved,call,0,1
NYK100191,metro,haircare,on_time,correct,not_applicable,call,0,0
NYK100192,metro,skincare,on_time,correct,not_applicable,call,0,0
NYK100193,tier3,haircare,on_time,correct,not_applicable,app,0,0
NYK100194,metro,haircare,on_time,correct,not_applicable,app,0,0
NYK100195,metro,wellness,delayed,correct,denied,call,0,1
NYK100196,tier2,makeup,on_time,wrong_item,unresolved,none,1,0
NYK100197,tier3,skincare,on_time,correct,not_applicable,social,0,0
NYK100198,metro,haircare,on_time,correct,not_applicable,app,0,0
NYK100199,metro,makeup,on_time,correct,not_applicable,app,0,0
NYK100200,tier3,skincare,on_time,correct,not_applicable,call,0,0
NYK100201,tier3,skincare,delayed,correct,denied,app,0,1
NYK100202,tier2,skincare,on_time,correct,not_applicable,social,0,0
NYK100203,metro,makeup,on_time,correct,not_applicable,call,0,0
NYK100204,metro,skincare,on_time,correct,not_applicable,none,0,0
NYK100205,metro,skincare,on_time,correct,not_applicable,app,0,0
NYK100206,metro,skincare,on_time,correct,not_applicable,none,0,0
NYK100207,tier2,wellness,on_time,correct,not_applicable,social,0,0
NYK100208,metro,skincare,on_time,correct,not_applicable,email,0,0
NYK100209,tier2,skincare,on_time,correct,not_applicable,none,0,0
NYK100210,tier2,makeup,on_time,correct,not_applicable,call,0,0
NYK100211,tier2,skincare,on_time,correct,not_applicable,app,0,0
NYK100212,metro,wellness,on_time,correct,not_applicable,call,0,0
NYK100213,tier3,wellness,on_time,correct,not_applicable,social,0,0
NYK100214,tier2,makeup,on_time,correct,not_applicable,none,0,0
NYK100215,tier2,makeup,on_time,correct,not_applicable,call,0,0
NYK100216,metro,makeup,on_time,correct,not_applicable,email,0,0
NYK100217,metro,skincare,on_time,correct,not_applicable,app,0,0
NYK100218,tier3,skincare,on_time,correct,not_applicable,app,0,0
NYK100219,metro,skincare,on_time,correct,not_applicable,email,0,0
NYK100220,metro,skincare,on_time,correct,not_applicable,call,0,0
NYK100221,tier2,makeup,on_time,correct,not_applicable,app,0,0
NYK100222,tier2,skincare,on_time,correct,not_applicable,social,0,0
NYK100223,tier3,skincare,delayed,correct,refunded,call,0,1
NYK100224,metro,makeup,on_time,correct,not_applicable,call,0,0
NYK100225,tier3,makeup,delayed,correct,refunded,app,0,1
NYK100226,metro,skincare,on_time,correct,not_applicable,app,0,0
NYK100227,tier2,skincare,on_time,correct,not_applicable,email,0,0
NYK100228,tier2,skincare,on_time,correct,not_applicable,none,0,0
NYK100229,metro,skincare,on_time,correct,not_applicable,app,0,0
NYK100230,metro,haircare,on_time,correct,not_applicable,social,0,0
NYK100231,tier2,wellness,on_time,wrong_item,refunded,social,0,0
NYK100232,tier3,makeup,on_time,correct,not_applicable,social,0,0
NYK100233,tier2,makeup,on_time,correct,not_applicable,email,0,0
NYK100234,tier3,haircare,delayed,correct,replaced,call,0,1
NYK100235,tier3,makeup,on_time,wrong_item,denied,social,1,0
NYK100236,tier2,skincare,delayed,correct,replaced,call,0,1
NYK100237,tier3,skincare,on_time,correct,not_applicable,app,0,0
NYK100238,metro,makeup,on_time,correct,not_applicable,call,0,0
NYK100239,metro,makeup,on_time,correct,not_applicable,call,0,0
NYK100240,tier3,skincare,on_time,correct,not_applicable,call,0,0
NYK100241,tier3,skincare,on_time,correct,not_applicable,none,0,0
NYK100242,metro,skincare,on_time,correct,not_applicable,call,0,0
NYK100243,tier2,skincare,on_time,damaged,denied,app,1,0
NYK100244,tier2,makeup,on_time,wrong_item,replaced,none,0,0
NYK100245,tier3,haircare,delayed,damaged,refunded,app,0,1
NYK100246,tier2,makeup,on_time,correct,not_applicable,app,0,0
NYK100247,tier2,skincare,on_time,correct,not_applicable,social,0,0
NYK100248,metro,skincare,on_time,correct,not_applicable,none,0,0
NYK100249,tier2,haircare,delayed,correct,refunded,email,0,1
NYK100250,tier2,makeup,delayed,correct,unresolved,call,0,1
NYK100251,tier3,skincare,not_delivered,correct,refunded,call,0,1
NYK100252,tier2,skincare,delayed,correct,refunded,social,0,1
NYK100253,metro,haircare,on_time,correct,not_applicable,none,0,0
NYK100254,metro,haircare,on_time,correct,not_applicable,app,0,0
NYK100255,tier2,haircare,on_time,correct,not_applicable,none,0,0
NYK100256,tier3,makeup,delayed,correct,refunded,email,0,1
NYK100257,metro,makeup,on_time,correct,not_applicable,app,0,0
NYK100258,metro,makeup,on_time,correct,not_applicable,app,0,0
NYK100259,tier2,skincare,delayed,correct,unresolved,app,0,1
NYK100260,metro,haircare,on_time,correct,not_applicable,none,0,0
NYK100261,tier3,makeup,delayed,wrong_item,refunded,call,0,1
NYK100262,metro,skincare,on_time,correct,not_applicable,email,0,0
NYK100263,metro,haircare,on_time,correct,not_applicable,app,0,0
NYK100264,tier3,makeup,on_time,correct,not_applicable,social,0,0
NYK100265,metro,skincare,on_time,correct,not_applicable,call,0,0
NYK100266,metro,skincare,on_time,correct,not_applicable,none,0,0
NYK100267,metro,haircare,on_time,correct,not_applicable,call,0,0
NYK100268,metro,wellness,on_time,correct,not_applicable,social,0,0
NYK100269,metro,makeup,on_time,correct,not_applicable,email,0,0
NYK100270,metro,wellness,on_time,correct,not_applicable,call,0,0
NYK100271,metro,haircare,on_time,correct,not_applicable,none,0,0
NYK100272,metro,haircare,on_time,correct,not_applicable,call,0,0
NYK100273,tier2,haircare,on_time,correct,not_applicable,none,0,0
NYK100274,tier2,makeup,on_time,correct,not_applicable,app,0,0
NYK100275,metro,haircare,on_time,wrong_item,denied,email,1,0
NYK100276,metro,makeup,on_time,correct,not_applicable,none,0,0
NYK100277,tier2,haircare,on_time,correct,not_applicable,none,0,0
NYK100278,tier3,skincare,on_time,correct,not_applicable,call,0,0
NYK100279,tier3,haircare,not_delivered,damaged,refunded,call,0,1
NYK100280,metro,wellness,on_time,correct,not_applicable,social,0,0
NYK100281,metro,skincare,on_time,correct,not_applicable,call,0,0
NYK100282,metro,wellness,on_time,wrong_item,refunded,none,0,0
NYK100283,metro,makeup,delayed,correct,denied,app,0,1
NYK100284,tier2,skincare,on_time,correct,not_applicable,app,0,0
NYK100285,tier2,skincare,on_time,correct,not_applicable,social,0,0
NYK100286,metro,haircare,delayed,wrong_item,denied,call,1,1
NYK100287,metro,makeup,delayed,correct,denied,call,0,1
NYK100288,tier2,skincare,on_time,correct,not_applicable,call,0,0
NYK100289,metro,makeup,on_time,correct,not_applicable,none,0,0
NYK100290,tier3,skincare,on_time,correct,not_applicable,email,0,0
NYK100291,metro,makeup,on_time,correct,not_applicable,none,0,0
NYK100292,tier3,haircare,delayed,correct,refunded,call,0,1
NYK100293,metro,haircare,on_time,correct,not_applicable,call,0,0
NYK100294,tier3,haircare,on_time,wrong_item,unresolved,app,1,0
NYK100295,tier3,makeup,on_time,correct,not_applicable,call,0,0
NYK100296,tier3,wellness,delayed,correct,replaced,app,0,1
NYK100297,tier3,skincare,on_time,correct,not_applicable,app,0,0
NYK100298,tier3,skincare,on_time,correct,not_applicable,call,0,0
NYK100299,tier2,skincare,not_delivered,damaged,unresolved,email,1,1
NYK100300,tier3,makeup,on_time,correct,not_applicable,call,0,0
NYK100301,metro,makeup,on_time,correct,not_applicable,call,0,0
NYK100302,tier2,haircare,on_time,correct,not_applicable,call,0,0
NYK100303,tier2,skincare,on_time,correct,not_applicable,call,0,0
NYK100304,tier3,skincare,delayed,correct,refunded,social,0,1
NYK100305,tier2,makeup,on_time,correct,not_applicable,social,0,0
NYK100306,metro,wellness,on_time,correct,not_applicable,social,0,0
NYK100307,tier2,skincare,on_time,correct,not_applicable,app,0,0
NYK100308,metro,skincare,on_time,correct,not_applicable,call,0,0
NYK100309,metro,skincare,on_time,correct,not_applicable,social,0,0
NYK100310,tier2,makeup,on_time,correct,not_applicable,none,0,0
NYK100311,tier2,skincare,on_time,correct,not_applicable,call,0,0
NYK100312,metro,skincare,on_time,correct,not_applicable,call,0,0
NYK100313,metro,makeup,not_delivered,correct,replaced,social,0,1
NYK100314,metro,skincare,on_time,correct,not_applicable,none,0,0
NYK100315,metro,makeup,on_time,correct,not_applicable,call,0,0
NYK100316,metro,skincare,on_time,correct,not_applicable,app,0,0
NYK100317,tier2,wellness,on_time,correct,not_applicable,social,0,0
NYK100318,metro,makeup,not_delivered,correct,refunded,email,0,1
NYK100319,tier3,skincare,on_time,correct,not_applicable,app,0,0
NYK100320,tier3,skincare,delayed,correct,denied,call,0,1
NYK100321,tier2,makeup,on_time,correct,not_applicable,email,0,0
NYK100322,metro,haircare,on_time,correct,not_applicable,email,0,0
NYK100323,tier2,skincare,on_time,correct,not_applicable,social,0,0
NYK100324,tier3,skincare,on_time,wrong_item,denied,app,1,0
NYK100325,tier2,skincare,on_time,correct,not_applicable,app,0,0
NYK100326,tier3,makeup,on_time,correct,not_applicable,email,0,0
NYK100327,tier2,wellness,on_time,correct,not_applicable,app,0,0
NYK100328,tier2,makeup,on_time,correct,not_applicable,call,0,0
NYK100329,metro,skincare,delayed,correct,replaced,call,0,1
NYK100330,tier2,haircare,on_time,correct,not_applicable,call,0,0
NYK100331,metro,haircare,on_time,correct,not_applicable,social,0,0
NYK100332,tier2,skincare,on_time,correct,not_applicable,app,0,0
NYK100333,tier3,skincare,on_time,correct,not_applicable,social,0,0
NYK100334,metro,makeup,on_time,correct,not_applicable,email,0,0
NYK100335,tier2,haircare,delayed,correct,refunded,call,0,1
NYK100336,metro,haircare,on_time,correct,not_applicable,none,0,0
NYK100337,tier2,haircare,delayed,correct,refunded,app,0,1
NYK100338,metro,haircare,on_time,wrong_item,refunded,social,0,0
NYK100339,tier3,skincare,delayed,correct,denied,app,0,1
NYK100340,metro,skincare,on_time,correct,not_applicable,none,0,0
NYK100341,tier3,skincare,not_delivered,damaged,refunded,app,0,1
NYK100342,tier3,haircare,on_time,correct,not_applicable,email,0,0
NYK100343,tier2,makeup,delayed,correct,refunded,app,0,1
NYK100344,tier3,skincare,on_time,correct,not_applicable,call,0,0
NYK100345,tier3,skincare,delayed,damaged,replaced,app,0,1
NYK100346,tier3,haircare,on_time,correct,not_applicable,app,0,0
NYK100347,metro,haircare,on_time,correct,not_applicable,app,0,0
NYK100348,tier2,haircare,on_time,correct,not_applicable,app,0,0
NYK100349,metro,skincare,on_time,correct,not_applicable,email,0,0
NYK100350,tier2,wellness,on_time,correct,not_applicable,call,0,0
NYK100351,metro,haircare,on_time,correct,not_applicable,app,0,0
NYK100352,tier2,haircare,on_time,wrong_item,refunded,none,0,0
NYK100353,tier2,haircare,on_time,correct,not_applicable,email,0,0
NYK100354,tier2,wellness,on_time,correct,not_applicable,app,0,0
NYK100355,tier2,wellness,on_time,correct,not_applicable,call,0,0
NYK100356,tier3,makeup,on_time,correct,not_applicable,call,0,0
NYK100357,tier3,makeup,on_time,correct,not_applicable,email,0,0
NYK100358,tier2,makeup,on_time,correct,not_applicable,none,0,0
NYK100359,tier2,haircare,on_time,correct,not_applicable,email,0,0
NYK100360,tier3,makeup,delayed,correct,unresolved,none,0,1
NYK100361,metro,skincare,on_time,correct,not_applicable,email,0,0
NYK100362,metro,skincare,on_time,correct,not_applicable,none,0,0
NYK100363,metro,wellness,on_time,wrong_item,refunded,email,0,0
NYK100364,tier2,haircare,on_time,correct,not_applicable,email,0,0
NYK100365,tier2,wellness,on_time,wrong_item,unresolved,email,1,0
NYK100366,tier3,makeup,delayed,correct,denied,social,0,1
NYK100367,tier2,haircare,on_time,correct,not_applicable,app,0,0
NYK100368,metro,haircare,on_time,correct,not_applicable,app,0,0
NYK100369,tier3,skincare,not_delivered,correct,replaced,app,0,1
NYK100370,tier3,skincare,on_time,correct,not_applicable,app,0,0
NYK100371,metro,wellness,on_time,correct,not_applicable,none,0,0
NYK100372,metro,skincare,on_time,wrong_item,replaced,email,0,0
NYK100373,metro,makeup,on_time,correct,not_applicable,app,0,0
NYK100374,metro,haircare,on_time,correct,not_applicable,call,0,0
NYK100375,metro,haircare,on_time,correct,not_applicable,app,0,0
NYK100376,tier3,skincare,on_time,damaged,denied,social,1,0
NYK100377,tier2,haircare,on_time,correct,not_applicable,none,0,0
NYK100378,metro,skincare,on_time,correct,not_applicable,app,0,0
NYK100379,tier2,haircare,on_time,correct,not_applicable,call,0,0
NYK100380,tier2,skincare,on_time,correct,not_applicable,none,0,0
NYK100381,tier3,haircare,on_time,correct,not_applicable,email,0,0
NYK100382,tier3,haircare,on_time,wrong_item,denied,none,1,0
NYK100383,tier2,skincare,delayed,correct,refunded,call,0,1
NYK100384,metro,skincare,on_time,correct,not_applicable,app,0,0
NYK100385,tier3,haircare,on_time,correct,not_applicable,email,0,0
NYK100386,tier2,skincare,on_time,correct,not_applicable,app,0,0
NYK100387,tier3,skincare,on_time,correct,not_applicable,social,0,0
NYK100388,metro,makeup,on_time,correct,not_applicable,social,0,0
NYK100389,tier3,wellness,on_time,correct,not_applicable,call,0,0
NYK100390,tier2,makeup,on_time,correct,not_applicable,call,0,0
NYK100391,metro,makeup,delayed,correct,unresolved,social,0,1
NYK100392,tier2,wellness,on_time,correct,not_applicable,none,0,0
NYK100393,tier2,makeup,on_time,correct,not_applicable,call,0,0
NYK100394,metro,makeup,on_time,correct,not_applicable,social,0,0
NYK100395,tier2,makeup,on_time,wrong_item,replaced,app,0,0
NYK100396,tier3,skincare,on_time,correct,not_applicable,none,0,0
NYK100397,metro,skincare,on_time,correct,not_applicable,email,0,0
NYK100398,tier2,haircare,delayed,damaged,replaced,app,0,1
NYK100399,tier2,skincare,delayed,correct,replaced,email,0,1
NYK100400,metro,haircare,delayed,correct,denied,email,0,1
NYK100401,tier3,skincare,on_time,correct,not_applicable,email,0,0
NYK100402,tier3,makeup,on_time,correct,not_applicable,call,0,0
NYK100403,metro,skincare,on_time,correct,not_applicable,email,0,0
NYK100404,tier3,makeup,on_time,correct,not_applicable,social,0,0
NYK100405,tier3,haircare,on_time,wrong_item,replaced,call,0,0
NYK100406,metro,makeup,on_time,correct,not_applicable,app,0,0
NYK100407,tier3,skincare,on_time,correct,not_applicable,none,0,0
NYK100408,metro,skincare,on_time,correct,not_applicable,email,0,0
NYK100409,tier3,haircare,on_time,correct,not_applicable,call,0,0
NYK100410,tier2,skincare,on_time,wrong_item,replaced,none,0,0
NYK100411,tier2,haircare,on_time,correct,not_applicable,app,0,0
NYK100412,metro,skincare,on_time,correct,not_applicable,social,0,0
NYK100413,tier3,skincare,on_time,correct,not_applicable,call,0,0
NYK100414,metro,haircare,on_time,correct,not_applicable,app,0,0
NYK100415,metro,makeup,delayed,correct,refunded,none,0,1
NYK100416,metro,skincare,on_time,correct,not_applicable,social,0,0
NYK100417,tier3,wellness,on_time,correct,not_applicable,app,0,0
NYK100418,metro,skincare,on_time,correct,not_applicable,none,0,0
NYK100419,tier3,makeup,delayed,correct,replaced,none,0,1
NYK100420,tier2,makeup,on_time,correct,not_applicable,social,0,0
NYK100421,metro,makeup,on_time,correct,not_applicable,app,0,0
NYK100422,metro,haircare,on_time,correct,not_applicable,app,0,0
NYK100423,metro,skincare,on_time,correct,not_applicable,social,0,0
NYK100424,tier2,wellness,on_time,correct,not_applicable,none,0,0
NYK100425,tier3,makeup,on_time,correct,not_applicable,app,0,0
NYK100426,metro,wellness,on_time,wrong_item,refunded,call,0,0
NYK100427,tier3,haircare,delayed,correct,unresolved,app,0,1
NYK100428,metro,wellness,on_time,correct,not_applicable,call,0,0
